Tipo de Cargo;Número de pedido;Estado del pedido;Sucursal;Fecha del pedido;Hora;Motivo;Monto del Pedido;Comisión PeYa;Monto final
Cargos por cancelar o rechazar pedidos a usuarios;1932096164;RECHAZADO;2docemarket;14/3/2026 0:00;13:56:32;Falta de productos;7,7;0,78;-0,78
Cargos por cancelar o rechazar pedidos a usuarios;1932250270;RECHAZADO;2docemarket;14/3/2026 0:00;15:49:17;Falta de productos;28,19;2,82;-2,82
Cargos por cancelar o rechazar pedidos a usuarios;1932508421;RECHAZADO;2docemarket;14/3/2026 0:00;19:02:38;Falta de productos;29,5;2,96;-2,96
Cargos por cancelar o rechazar pedidos a usuarios;1933724654;RECHAZADO;2docemarket;15/3/2026 0:00;15:31:07;Falta de productos;15,74;1,58;-1,58
Cargos por cancelar o rechazar pedidos a usuarios;1933086205;RECHAZADO;2docemarket - 24hrs;15/3/2026 0:00;0:29:48;Pedido no entregado;15,59;0,8;-0,8
Cargos por cancelar o rechazar pedidos a usuarios;1933484949;RECHAZADO;2docemarket;15/3/2026 0:00;13:23:43;Falta de productos;15,01;1,5;-1,5
Cargos por cancelar o rechazar pedidos a usuarios;1933086559;RECHAZADO;2docemarket - 24hrs;15/3/2026 0:00;0:39:48;Falta de productos;18,72;0,97;-0,97
Cargos por cancelar o rechazar pedidos a usuarios;1934963349;RECHAZADO;2docemarket;16/3/2026 0:00;16:58:09;Falta de productos;36,6;3,66;-3,66
Cargos por cancelar o rechazar pedidos a usuarios;1935122994;RECHAZADO;2docemarket;16/3/2026 0:00;19:24:37;Falta de productos;5,9;0,6;-0,6
Cargos por cancelar o rechazar pedidos a usuarios;1935460027;RECHAZADO;2docemarket;17/3/2026 0:00;8:48:43;Falta de productos;7,1;0,72;-0,72
Cargos por cancelar o rechazar pedidos a usuarios;1935834636;RECHAZADO;2docemarket;17/3/2026 0:00;14:08:21;Falta de productos;28,38;2,84;-2,84
Cargos por cancelar o rechazar pedidos a usuarios;1935946025;RECHAZADO;2docemarket;17/3/2026 0:00;16:36:48;Falta de productos;6;0,6;-0,6
Cargos por cancelar o rechazar pedidos a usuarios;1936135563;RECHAZADO;2docemarket;17/3/2026 0:00;19:29:22;Falta de productos;3,8;0,38;-0,38
Cargos por cancelar o rechazar pedidos a usuarios;1936137228;RECHAZADO;2docemarket;17/3/2026 0:00;19:36:09;Falta de productos;39;3,9;-3,9
Cargos por cancelar o rechazar pedidos a usuarios;1936438041;RECHAZADO;2docemarket - 24hrs;17/3/2026 0:00;23:08:34;Falta de productos;3,8;0,22;-0,22
Cargos por cancelar o rechazar pedidos a usuarios;1936435779;RECHAZADO;2docemarket - 24hrs;17/3/2026 0:00;22:39:26;Pedido no entregado;10,75;0,56;-0,56
Cargos por cancelar o rechazar pedidos a usuarios;1937968531;RECHAZADO;2docemarket;19/3/2026 0:00;15:34:02;Falta de productos;6,99;0,7;-0,7
Cargos por cancelar o rechazar pedidos a usuarios;1937925377;RECHAZADO;2doce Market - Valencia;19/3/2026 0:00;14:41:58;El local no tiene lector de tarjetas;6,24;0,62;-0,62
Cargos por cancelar o rechazar pedidos a usuarios;1937497470;RECHAZADO;2docemarket;19/3/2026 0:00;8:54:45;Falta de productos;6,99;0,7;-0,7
Cargos por cancelar o rechazar pedidos a usuarios;1937764440;RECHAZADO;2docemarket;19/3/2026 0:00;13:04:55;Falta de productos;12,45;1,24;-1,24
Cargos por cancelar o rechazar pedidos a usuarios;1939145896;RECHAZADO;2docemarket;20/3/2026 0:00;16:50:36;Falta de productos;12,23;1,22;-1,22
Cargos por cancelar o rechazar pedidos a usuarios;1939200758;RECHAZADO;2docemarket;20/3/2026 0:00;17:36:53;Falta de productos;3,5;0,36;-0,36
Cargos por cancelar o rechazar pedidos a usuarios;1939758867;RECHAZADO;2docemarket;20/3/2026 0:00;21:57:57;Falta de productos;21,89;2,18;-2,18
Cargos por cancelar o rechazar pedidos a usuarios;1939929863;RECHAZADO;2docemarket;21/3/2026 0:00;9:24:25;Falta de productos;4;0,4;-0,4
Cargos por cancelar o rechazar pedidos a usuarios;1941295830;RECHAZADO;2docemarket;22/3/2026 0:00;7:13:21;Falta de productos;11,4;1,14;-1,14
Cargos por cancelar o rechazar pedidos a usuarios;1941628447;RECHAZADO;2doce Market - Valencia;22/3/2026 0:00;12:38:15;El local no tiene lector de tarjetas;3,95;0,4;-0,4
Cargos por cancelar o rechazar pedidos a usuarios;1941660558;RECHAZADO;2doce Market - Valencia;22/3/2026 0:00;12:55:08;El local no tiene lector de tarjetas;3,92;0,4;-0,4
Cargos por cancelar o rechazar pedidos a usuarios;1941993221;RECHAZADO;2docemarket;22/3/2026 0:00;16:52:47;Falta de productos;16,68;1,66;-1,66
Cargos por cancelar o rechazar pedidos a usuarios;1942111517;RECHAZADO;2docemarket;22/3/2026 0:00;18:11:31;Falta de productos;13,8;1,38;-1,38
Cargos por cancelar o rechazar pedidos a usuarios;1942276009;RECHAZADO;2docemarket;22/3/2026 0:00;19:46:13;Falta de productos;13;1,3;-1,3
Cargos por cancelar o rechazar pedidos a usuarios;1942797056;RECHAZADO;2doce Market - Valencia;23/3/2026 0:00;11:33:53;Falta de productos;4,16;0,42;-0,42
Cargos por cancelar o rechazar pedidos a usuarios;1942677002;RECHAZADO;2docemarket - 24hrs;23/3/2026 0:00;2:58:21;Falta de productos;16,68;0,86;-0,86
Cargos por cancelar o rechazar pedidos a usuarios;1944284409;RECHAZADO;2docemarket;24/3/2026 0:00;17:45:11;Falta de productos;10,5;1,06;-1,06
Cargos por cancelar o rechazar pedidos a usuarios;1945417254;RECHAZADO;2docemarket;25/3/2026 0:00;19:43:08;Falta de productos;11,6;1,16;-1,16
Cargos por cancelar o rechazar pedidos a usuarios;1945590098;RECHAZADO;2docemarket;25/3/2026 0:00;21:12:19;Falta de productos;10;1;-1
Cargos por cancelar o rechazar pedidos a usuarios;1948342379;RECHAZADO;2docemarket;28/3/2026 0:00;12:52:19;Falta de productos;13,69;1,36;-1,36
Cargos por cancelar o rechazar pedidos a usuarios;1948510167;RECHAZADO;2docemarket;28/3/2026 0:00;14:20:24;Falta de productos;4,49;0,44;-0,44
Cargos por cancelar o rechazar pedidos a usuarios;1949323295;RECHAZADO;2docemarket;28/3/2026 0:00;21:50:21;Falta de productos;8,53;0,86;-0,86
Cargos por cancelar o rechazar pedidos a usuarios;1949431347;RECHAZADO;2docemarket - 24hrs;29/3/2026 0:00;0:25:28;Falta de productos;4,2;0,24;-0,24
Cargos por cancelar o rechazar pedidos a usuarios;1950601390;RECHAZADO;2docemarket;29/3/2026 0:00;20:56:28;Falta de productos;6,08;0,6;-0,6
Cargos por cancelar o rechazar pedidos a usuarios;1950785569;RECHAZADO;2docemarket - 24hrs;29/3/2026 0:00;23:34:35;Horario de entrega retrasado;6,36;0,34;-0,34
Cargos por cancelar o rechazar pedidos a usuarios;1950785630;RECHAZADO;2docemarket - 24hrs;29/3/2026 0:00;23:35:55;Pedido no entregado;8,96;0,48;-0,48
Cargos por cancelar o rechazar pedidos a usuarios;1950882239;RECHAZADO;2docemarket;30/3/2026 0:00;10:11:43;Falta de productos;15,2;1,52;-1,52
Cargos por cancelar o rechazar pedidos a usuarios;1951947039;RECHAZADO;2docemarket;31/3/2026 0:00;7:48:11;Falta de productos;7,6;0,76;-0,76
Cargos por cancelar o rechazar pedidos a usuarios;1951981275;RECHAZADO;2docemarket;31/3/2026 0:00;8:59:11;Falta de productos;28;2,8;-2,8
Cargos por cancelar o rechazar pedidos a usuarios;1954485997;RECHAZADO;Cafein - Las Mercedes;2/4/2026 0:00;9:12:06;No atiende;21,75;5,44;-5,44
Cargos por cancelar o rechazar pedidos a usuarios;1955520532;RECHAZADO;2docemarket;2/4/2026 0:00;21:34:06;Falta de productos;10,98;1,1;-1,1
Cargos por cancelar o rechazar pedidos a usuarios;1957549982;RECHAZADO;2docemarket;4/4/2026 0:00;18:45:14;Falta de productos;17,5;1,76;-1,76
Cargos por cancelar o rechazar pedidos a usuarios;1957768387;RECHAZADO;2docemarket;4/4/2026 0:00;20:23:37;Falta de productos;3,5;0,36;-0,36
Cargos por cancelar o rechazar pedidos a usuarios;1958039939;RECHAZADO;2docemarket - 24hrs;4/4/2026 0:00;22:36:49;Falta de productos;1,08;0,09;-0,09
Cargos por cancelar o rechazar pedidos a usuarios;1958304884;RECHAZADO;2docemarket;5/4/2026 0:00;12:20:59;Falta de productos;17,5;1,76;-1,76
Cargos por cancelar o rechazar pedidos a usuarios;1958328146;RECHAZADO;2docemarket;5/4/2026 0:00;12:23:59;Falta de productos;7;0,7;-0,7
Cargos por cancelar o rechazar pedidos a usuarios;1958660312;RECHAZADO;2docemarket;5/4/2026 0:00;15:45:47;Falta de productos;21;2,1;-2,1
Cargos por cancelar o rechazar pedidos a usuarios;1958890666;RECHAZADO;2docemarket;5/4/2026 0:00;18:33:51;Falta de productos;7;0,7;-0,7
Cargos por cancelar o rechazar pedidos a usuarios;1959304966;RECHAZADO;2docemarket - 24hrs;5/4/2026 0:00;23:12:00;Horario de entrega retrasado;10;0,53;-0,53
Cargos por cancelar o rechazar pedidos a usuarios;1960179336;RECHAZADO;2docemarket;6/4/2026 0:00;21:07:19;Falta de productos;3,6;0,36;-0,36
Cargos por cancelar o rechazar pedidos a usuarios;1959984305;RECHAZADO;2docemarket;6/4/2026 0:00;19:44:04;Falta de productos;6,33;0,64;-0,64
Cargos por cancelar o rechazar pedidos a usuarios;1960384759;RECHAZADO;2docemarket;7/4/2026 0:00;10:22:08;Falta de productos;3,5;0,36;-0,36
Cargos por cancelar o rechazar pedidos a usuarios;1962566752;RECHAZADO;2docemarket;9/4/2026 0:00;10:15:45;Falta de productos;10,74;1,08;-1,08
Cargos por cancelar o rechazar pedidos a usuarios;1963128780;RECHAZADO;2doce Market - Valencia;9/4/2026 0:00;18:23:42;Falta de productos;10,97;1,1;-1,1
Cargos por cancelar o rechazar pedidos a usuarios;1963353346;RECHAZADO;2doce Market - Valencia;9/4/2026 0:00;20:22:56;Restaurante Cerrado;6,2;0,62;-0,62
Cargos por cancelar o rechazar pedidos a usuarios;1963598891;RECHAZADO;2docemarket - 24hrs;9/4/2026 0:00;22:42:50;Falta de productos;1,5;0,11;-0,11
Cargos por cancelar o rechazar pedidos a usuarios;1964710809;RECHAZADO;2docemarket;10/4/2026 0:00;20:49:01;Falta de productos;6,8;0,68;-0,68
Cargos por cancelar o rechazar pedidos a usuarios;1965467392;RECHAZADO;2doce Market - Valencia;11/4/2026 0:00;13:42:06;Falta de productos;12,64;1,26;-1,26
Cargos por cancelar o rechazar pedidos a usuarios;1967297020;RECHAZADO;2docemarket;12/4/2026 0:00;18:29:42;Falta de productos;8,97;0,9;-0,9
Cargos por cancelar o rechazar pedidos a usuarios;1968784213;RECHAZADO;2docemarket - 24hrs;13/4/2026 0:00;23:23:21;Falta de productos;14,8;0,78;-0,78
Cargos por cancelar o rechazar pedidos a usuarios;1969278455;RECHAZADO;2doce Market - Valencia;14/4/2026 0:00;16:40:42;Falta de productos;10,46;1,04;-1,04
Cargos por cancelar o rechazar pedidos a usuarios;1968819667;RECHAZADO;2docemarket - 24hrs;14/4/2026 0:00;1:38:16;Falta de productos;33,38;1,69;-1,69
Cargos por cancelar o rechazar pedidos a usuarios;1969918935;RECHAZADO;2doce Market - Valencia;15/4/2026 0:00;11:04:35;Falta de productos;5,5;0,56;-0,56
Cargos por cancelar o rechazar pedidos a usuarios;1970839609;RECHAZADO;2docemarket - 24hrs;16/4/2026 0:00;2:08:24;Falta de productos;5,92;0,32;-0,32
Cargos por cancelar o rechazar pedidos a usuarios;1972039466;RECHAZADO;2docemarket - 24hrs;17/4/2026 0:00;6:21:33;Pedido no entregado;4,1;0,24;-0,24
Cargos por cancelar o rechazar pedidos a usuarios;1973510691;RECHAZADO;2doce Market - Valencia;18/4/2026 0:00;12:17:41;El local no tiene lector de tarjetas;9;0,9;-0,9
Cargos por cancelar o rechazar pedidos a usuarios;1973578424;RECHAZADO;2doce Market - Valencia;18/4/2026 0:00;12:38:00;El local no tiene lector de tarjetas;6,37;0,64;-0,64
Cargos por cancelar o rechazar pedidos a usuarios;1973805057;RECHAZADO;2doce Market - Valencia;18/4/2026 0:00;15:08:21;Falta de productos;3;0,3;-0,3
Cargos por cancelar o rechazar pedidos a usuarios;1975117076;RECHAZADO;2doce Market - Valencia;19/4/2026 0:00;14:03:33;Falta de productos;14,36;1,44;-1,44
Cargos por cancelar o rechazar pedidos a usuarios;1975464864;RECHAZADO;2doce Market - Valencia;19/4/2026 0:00;17:52:23;Falta de productos;3,11;0,32;-0,32
Cargos por cancelar o rechazar pedidos a usuarios;1978103994;RECHAZADO;2docemarket;21/4/2026 0:00;21:47:35;Falta de productos;7,58;0,76;-0,76
Cargos por cancelar o rechazar pedidos a usuarios;1982206217;RECHAZADO;2doce Market - Valencia;25/4/2026 0:00;16:02:51;Falta de productos;57,84;5,78;-5,78
Cargos por cancelar o rechazar pedidos a usuarios;1984812616;RECHAZADO;2docemarket;27/4/2026 0:00;15:56:37;Falta de productos;45,47;4,54;-4,54
Cargos por cancelar o rechazar pedidos a usuarios;1984544738;RECHAZADO;2docemarket;27/4/2026 0:00;12:29:19;Falta de productos;31,2;3,12;-3,12
Cargos por cancelar o rechazar pedidos a usuarios;1986493912;RECHAZADO;2docemarket;29/4/2026 0:00;10:47:32;Falta de productos;8,2;0,82;-0,82
Cargos por cancelar o rechazar pedidos a usuarios;1989061799;RECHAZADO;2doce Market - Valencia;1/5/2026 0:00;11:10:54;Falta de productos;56,59;5,66;-5,66
Cargos por cancelar o rechazar pedidos a usuarios;1989110637;RECHAZADO;2doce Market - Valencia;1/5/2026 0:00;12:06:05;Falta de productos;17,03;1,7;-1,7
Cargos por cancelar o rechazar pedidos a usuarios;1989548124;RECHAZADO;2doce Market - Valencia;1/5/2026 0:00;16:27:46;Falta de productos;11,39;1,14;-1,14
Cargos por cancelar o rechazar pedidos a usuarios;1990317599;RECHAZADO;2docemarket - 24hrs;2/5/2026 0:00;0:11:53;Horario de entrega retrasado;55,68;2,8;-2,8
Cargos por cancelar o rechazar pedidos a usuarios;1990496230;RECHAZADO;2doce Market - Valencia;2/5/2026 0:00;12:11:35;Falta de productos;3,04;0,3;-0,3
Cargos por cancelar o rechazar pedidos a usuarios;1992114650;RECHAZADO;2doce Market - Valencia;3/5/2026 0:00;14:13:03;Falta de productos;8,8;0,88;-0,88
Cargos por cancelar o rechazar pedidos a usuarios;1992252493;RECHAZADO;2doce Market - Valencia;3/5/2026 0:00;15:35:24;Falta de productos;8,44;0,84;-0,84
Cargos por cancelar o rechazar pedidos a usuarios;1992704130;RECHAZADO;2docemarket;3/5/2026 0:00;20:12:10;Falta de productos;17,4;1,74;-1,74
Cargos por cancelar o rechazar pedidos a usuarios;1995936444;RECHAZADO;2docemarket;6/5/2026 0:00;19:54:47;Falta de productos;7,6;0,76;-0,76
Cargos por cancelar o rechazar pedidos a usuarios;1995669776;RECHAZADO;2doce Market - Valencia;6/5/2026 0:00;16:04:49;Falta de productos;4,58;0,46;-0,46
Cargos por cancelar o rechazar pedidos a usuarios;1997114619;RECHAZADO;2doce Market - Valencia;7/5/2026 0:00;17:14:51;Falta de productos;6,97;0,7;-0,7
Cargos por cancelar o rechazar pedidos a usuarios;1997693800;RECHAZADO;2docemarket - 24hrs;8/5/2026 0:00;1:29:54;Falta de productos;6,08;0,34;-0,34
Cargos por cancelar o rechazar pedidos a usuarios;1997678354;RECHAZADO;2docemarket - 24hrs;8/5/2026 0:00;3:23:34;No atiende;7,57;0,4;-0,4
Cargos por cancelar o rechazar pedidos a usuarios;1999864409;RECHAZADO;2docemarket;9/5/2026 0:00;18:46:09;Falta de productos;23,2;2,32;-2,32
Cargos por cancelar o rechazar pedidos a usuarios;1999864364;RECHAZADO;2docemarket;9/5/2026 0:00;18:46:01;Falta de productos;4,5;0,46;-0,46
Cargos por cancelar o rechazar pedidos a usuarios;2000305129;RECHAZADO;2docemarket;9/5/2026 0:00;21:36:17;Falta de productos;45;4,5;-4,5
Cargos por cancelar o rechazar pedidos a usuarios;2000455031;RECHAZADO;2docemarket - 24hrs;9/5/2026 0:00;23:15:20;Restaurante Cerrado;4,1;0,23;-0,23
Cargos por cancelar o rechazar pedidos a usuarios;2001344506;RECHAZADO;2doce Market - Valencia;10/5/2026 0:00;18:13:32;Falta de productos;11,41;1,14;-1,14
Cargos por cancelar o rechazar pedidos a usuarios;2001309699;RECHAZADO;2docemarket;10/5/2026 0:00;17:26:57;Falta de productos;5,32;0,54;-0,54
Cargos por cancelar o rechazar pedidos a usuarios;2001266152;RECHAZADO;2doce Market - Valencia;10/5/2026 0:00;17:12:21;Falta de productos;15,65;1,56;-1,56
Cargos por cancelar o rechazar pedidos a usuarios;2001145863;RECHAZADO;2doce Market - Valencia;10/5/2026 0:00;15:38:26;Falta de productos;7,67;0,76;-0,76
Cargos por cancelar o rechazar pedidos a usuarios;2000955668;RECHAZADO;2doce Market - Valencia;10/5/2026 0:00;13:45:07;Falta de productos;13,85;1,38;-1,38
Cargos por cancelar o rechazar pedidos a usuarios;2000694843;RECHAZADO;2docemarket;10/5/2026 0:00;11:11:49;Falta de productos;16,5;1,66;-1,66
Cargos por cancelar o rechazar pedidos a usuarios;2000530637;RECHAZADO;2docemarket - 24hrs;10/5/2026 0:00;6:50:16;Falta de productos;45;2,29;-2,29
Cargos por cancelar o rechazar pedidos a usuarios;2002512684;RECHAZADO;2doce Market - Valencia;11/5/2026 0:00;17:58:11;Falta de productos;37,89;3,78;-3,78
Cargos por cancelar o rechazar pedidos a usuarios;2004007543;RECHAZADO;2docemarket - 24hrs;13/5/2026 0:00;6:33:34;Pedido no entregado;28,42;1,45;-1,45
Cargos por cancelar o rechazar pedidos a usuarios;2005701292;RECHAZADO;2doce Market - Valencia;14/5/2026 0:00;16:31:13;Falta de productos;7,43;0,74;-0,74
Cargos por cancelar o rechazar pedidos a usuarios;2005812880;RECHAZADO;2docemarket;14/5/2026 0:00;18:26:48;Falta de productos;49;4,9;-4,9
Cargos por cancelar o rechazar pedidos a usuarios;2006202613;RECHAZADO;2docemarket;14/5/2026 0:00;21:46:20;Falta de productos;3,24;0,32;-0,32
Cargos por cancelar o rechazar pedidos a usuarios;2007619945;RECHAZADO;2docemarket - 24hrs;15/5/2026 0:00;22:50:27;Horario de entrega retrasado;6,5;0,35;-0,35
Cargos por cancelar o rechazar pedidos a usuarios;2008470530;RECHAZADO;2doce Market - Valencia;16/5/2026 0:00;18:57:52;Falta de productos;14,69;1,46;-1,46
Cargos por cancelar o rechazar pedidos a usuarios;2010530561;RECHAZADO;2docemarket - 24hrs;17/5/2026 0:00;23:12:33;Horario de entrega retrasado;5,93;0,33;-0,33
Cargos por cancelar o rechazar pedidos a usuarios;2010526477;RECHAZADO;2docemarket - 24hrs;17/5/2026 0:00;23:53:49;Horario de entrega retrasado;8,41;0,46;-0,46
Cargos por cancelar o rechazar pedidos a usuarios;2010980316;RECHAZADO;2doce Market - Valencia;18/5/2026 0:00;15:42:06;Falta de productos;57,99;5,8;-5,8
Cargos por cancelar o rechazar pedidos a usuarios;2013569454;RECHAZADO;2docemarket - 24hrs;20/5/2026 0:00;23:28:31;Horario de entrega retrasado;1,58;0,1;-0,1
Cargos por cancelar o rechazar pedidos a usuarios;2014213108;RECHAZADO;2doce Market - Valencia;21/5/2026 0:00;18:05:37;Falta de productos;3;0,3;-0,3
Cargos por cancelar o rechazar pedidos a usuarios;2014207383;RECHAZADO;2doce Market - Valencia;21/5/2026 0:00;18:07:41;Falta de productos;6,7;0,68;-0,68
Cargos por cancelar o rechazar pedidos a usuarios;2015143061;RECHAZADO;2doce Market - Valencia;22/5/2026 0:00;14:31:21;Falta de productos;54,52;5,46;-5,46
Cargos por cancelar o rechazar pedidos a usuarios;2016600039;RECHAZADO;2doce Market - Valencia;23/5/2026 0:00;15:49:33;Falta de productos;8,87;0,88;-0,88
Cargos por cancelar o rechazar pedidos a usuarios;2016672558;RECHAZADO;2doce Market - Valencia;23/5/2026 0:00;16:50:37;Falta de productos;13,94;1,4;-1,4
Cargos por cancelar o rechazar pedidos a usuarios;2016890233;RECHAZADO;2docemarket;23/5/2026 0:00;19:20:27;Falta de productos;12,37;1,24;-1,24
Cargos por cancelar o rechazar pedidos a usuarios;2017446734;RECHAZADO;2docemarket - 24hrs;23/5/2026 0:00;23:10:36;Horario de entrega retrasado;38,79;1,97;-1,97
Cargos por cancelar o rechazar pedidos a usuarios;2017509624;RECHAZADO;2docemarket - 24hrs;24/5/2026 0:00;3:59:27;Pedido no entregado;25,9;1,32;-1,32
Cargos por cancelar o rechazar pedidos a usuarios;PEN;RECHAZADO;2docemarket - 24hrs;25/5/2026 0:00;0:17:08;Falta de productos;8;0,43;-0,43
Cargos por cancelar o rechazar pedidos a usuarios;PEN;RECHAZADO;2docemarket - 24hrs;25/5/2026 0:00;1:44:33;Falta de productos;8;0,43;-0,43
Cargos por cancelar o rechazar pedidos a usuarios;2018905698;RECHAZADO;2docemarket - 24hrs;25/5/2026 0:00;1:44:33;Falta de productos;8;0,43;-0,43
Cargos por cancelar o rechazar pedidos a usuarios;2018931151;RECHAZADO;2docemarket - 24hrs;25/5/2026 0:00;0:17:08;Falta de productos;8;0,43;-0,43
Cargos por cancelar o rechazar pedidos a usuarios;PEN;RECHAZADO;2docemarket - 24hrs;26/5/2026 0:00;23:32:17;Hay mucha demanda en el local;7,7;0,42;-0,42
Cargos por cancelar o rechazar pedidos a usuarios;2021125470;RECHAZADO;2docemarket - 24hrs;26/5/2026 0:00;23:32:17;Hay mucha demanda en el local;7,7;0,42;-0,42
Cargos por cancelar o rechazar pedidos a usuarios;2023634353;RECHAZADO;2docemarket - 24hrs;29/5/2026 0:00;5:37:38;Falta de productos;11,6;0,61;-0,61
Cargos por cancelar o rechazar pedidos a usuarios;2023795920;RECHAZADO;2docemarket;29/5/2026 0:00;11:45:10;Falta de productos;11,6;1,16;-1,16
Cargos por cancelar o rechazar pedidos a usuarios;2024045091;RECHAZADO;2doce Market - Valencia;29/5/2026 0:00;14:17:48;Falta de productos;3,47;0,34;-0,34
Cargos por cancelar o rechazar pedidos a usuarios;2024975304;RECHAZADO;2docemarket - 24hrs;29/5/2026 0:00;23:19:46;Horario de entrega retrasado;5,54;0,31;-0,31
Cargos por cancelar o rechazar pedidos a usuarios;2024976119;RECHAZADO;2docemarket - 24hrs;29/5/2026 0:00;23:27:47;Horario de entrega retrasado;40;2,04;-2,04
Cargos por cancelar o rechazar pedidos a usuarios;2025090737;RECHAZADO;2docemarket;30/5/2026 0:00;9:25:27;Falta de productos;3,93;0,4;-0,4
Cargos por cancelar o rechazar pedidos a usuarios;2026867442;RECHAZADO;2doce Market - Valencia;31/5/2026 0:00;13:30:36;Falta de productos;6,95;0,7;-0,7
Cargos por cancelar o rechazar pedidos a usuarios;2027232726;RECHAZADO;2doce Market - Valencia;31/5/2026 0:00;17:10:41;Falta de productos;11,25;1,12;-1,12
Cargos por cancelar o rechazar pedidos a usuarios;2028601273;RECHAZADO;2doce Market - Valencia;1/6/2026 0:00;17:51:38;Falta de productos;6;0,6;-0,6
Cargos por cancelar o rechazar pedidos a usuarios;2029193792;RECHAZADO;2doce Market - Valencia;2/6/2026 0:00;11:15:22;Falta de productos;4,47;0,44;-0,44
Cargos por cancelar o rechazar pedidos a usuarios;2029603621;RECHAZADO;2doce Market - Valencia;2/6/2026 0:00;17:02:52;Falta de productos;4;0,4;-0,4
Cargos por cancelar o rechazar pedidos a usuarios;2030693455;RECHAZADO;2doce Market - Valencia;3/6/2026 0:00;17:02:33;Falta de productos;3;0,3;-0,3
Cargos por cancelar o rechazar pedidos a usuarios;2030775585;RECHAZADO;2docemarket;3/6/2026 0:00;18:03:46;El local no tiene lector de tarjetas;3;0,3;-0,3
Cargos por cancelar o rechazar pedidos a usuarios;2030821254;RECHAZADO;2doce Market - Valencia;3/6/2026 0:00;18:35:10;Falta de productos;3;0,3;-0,3
Cargos por cancelar o rechazar pedidos a usuarios;2033750722;RECHAZADO;2docemarket;5/6/2026 0:00;21:33:47;Falta de productos;3;0,3;-0,3
Cargos por cancelar o rechazar pedidos a usuarios;2033961141;RECHAZADO;2docemarket;6/6/2026 0:00;8:30:05;Falta de productos;12;1,2;-1,2
Cargos por cancelar o rechazar pedidos a usuarios;2034297407;RECHAZADO;2doce Market - Valencia;6/6/2026 0:00;13:41:02;Falta de productos;12,92;1,3;-1,3
Cargos por cancelar o rechazar pedidos a usuarios;2035353816;RECHAZADO;2docemarket - 24hrs;6/6/2026 0:00;23:11:49;Horario de entrega retrasado;4,2;0,25;-0,25
Cargos por cancelar o rechazar pedidos a usuarios;2035589215;RECHAZADO;2docemarket;7/6/2026 0:00;11:03:21;El local no tiene lector de tarjetas;3,5;0,36;-0,36
Cargos por cancelar o rechazar pedidos a usuarios;2035600670;RECHAZADO;2docemarket;7/6/2026 0:00;11:31:18;El local no tiene lector de tarjetas;6,1;0,62;-0,62
Cargos por cancelar o rechazar pedidos a usuarios;2036142484;RECHAZADO;2docemarket;7/6/2026 0:00;16:41:17;Falta de productos;28,19;2,82;-2,82
Cargos por cancelar o rechazar pedidos a usuarios;2047812847;RECHAZADO;2doce Market - Valencia;16/6/2026 0:00;18:31:04;Hay mucha demanda en el local;7,09;0,7;-0,7
Cargos por cancelar o rechazar pedidos a usuarios;2048271694;RECHAZADO;2docemarket - 24hrs;16/6/2026 0:00;22:51:01;Horario de entrega retrasado;24,75;1,26;-1,26
Cargos por cancelar o rechazar pedidos a usuarios;2050890819;RECHAZADO;2docemarket - 24hrs;19/6/2026 0:00;0:50:26;Falta de productos;1,55;0,1;-0,1
Cargos por cancelar o rechazar pedidos a usuarios;2050963038;RECHAZADO;2docemarket - 24hrs;19/6/2026 0:00;4:09:00;Falta de productos;8,97;0,48;-0,48
Cargos por cancelar o rechazar pedidos a usuarios;2053986564;RECHAZADO;2docemarket - 24hrs;20/6/2026 0:00;23:24:07;Falta de productos;2,6;0,15;-0,15
Cargos por cancelar o rechazar pedidos a usuarios;2055446521;RECHAZADO;2docemarket - 24hrs;21/6/2026 0:00;23:26:44;Horario de entrega retrasado;2,2;0,15;-0,15
